City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6001,-73.9662,70.92,69.0,100.0,4.0,US,1716905893
1,mariental,-24.6333,17.9667,80.85,18.0,40.0,2.3,NA,1716906709
2,mae hong son,19.3003,97.9685,76.66,97.0,100.0,2.01,TH,1716906710
3,edinburgh of the seven seas,-37.0676,-12.3116,54.91,59.0,12.0,19.42,SH,1716906711
4,tiruchchendur,8.4833,78.1167,85.08,68.0,100.0,10.63,IN,1716906712
5,waitangi,-43.9535,-176.5597,47.82,79.0,99.0,10.0,NZ,1716906713
6,adamstown,-25.066,-130.1015,69.35,79.0,96.0,9.31,PN,1716906714
7,west island,-12.1568,96.8225,80.58,89.0,75.0,13.8,CC,1716906716
8,tiksi,71.6872,128.8694,35.35,95.0,35.0,3.65,RU,1716906227
9,grytviken,-54.2811,-36.5092,32.47,82.0,21.0,12.33,GS,1716906718
10,yeraliyev,43.2,51.65,81.14,23.0,100.0,11.01,KZ,1716906719
11,vuktyl,63.8567,57.3094,34.11,49.0,99.0,17.0,RU,1716906720
12,yellowknife,62.456,-114.3525,54.41,67.0,100.0,11.5,CA,1716906721
13,badger,64.8,-147.5333,53.08,82.0,75.0,4.61,US,1716906291
14,dudinka,69.4058,86.1778,28.67,76.0,100.0,18.01,RU,1716906246
15,constantia,44.1833,28.65,68.7,68.0,5.0,8.61,RO,1716906487
16,susanville,40.4163,-120.653,58.82,65.0,23.0,3.18,US,1716906726
17,aswan,24.0934,32.907,105.1,11.0,0.0,12.66,EG,1716906727
18,olonkinbyen,70.9221,-8.7187,34.2,91.0,100.0,7.58,SJ,1716906231
19,bilibino,68.0546,166.4372,35.98,56.0,40.0,5.32,RU,1716906184
20,port-aux-francais,-49.35,70.2167,38.16,75.0,76.0,31.47,TF,1716906730
21,blackmans bay,-43.0167,147.3167,53.73,76.0,99.0,1.01,AU,1716906731
22,usinsk,65.9939,57.5281,32.07,59.0,100.0,24.0,RU,1716906618
23,kulhudhuffushi,6.6221,73.07,82.51,83.0,100.0,24.87,MV,1716906733
24,petropavlovsk-kamchatsky,53.0452,158.6483,39.45,75.0,75.0,4.47,RU,1716906735
25,jincheng,35.5022,112.8328,72.19,33.0,100.0,5.57,CN,1716906736
26,mohr,54.3528,9.7167,64.04,61.0,40.0,9.22,DE,1716906737
27,longyearbyen,78.2186,15.6401,35.44,80.0,75.0,2.3,SJ,1716906170
28,padangsidempuan,1.3667,99.2667,76.87,92.0,100.0,0.29,ID,1716906739
29,sisimiut,66.9395,-53.6735,35.02,86.0,100.0,6.17,GL,1716906740
30,punta arenas,-53.15,-70.9167,35.71,93.0,100.0,8.05,CL,1716906741
31,segou,13.4317,-6.2157,105.89,22.0,69.0,5.26,ML,1716906742
32,carnarvon,-24.8667,113.6333,70.79,74.0,4.0,14.43,AU,1716906744
33,puerto natales,-51.7236,-72.4875,30.65,93.0,100.0,3.44,CL,1716906693
34,upington,-28.4478,21.2561,82.78,12.0,0.0,11.5,ZA,1716906746
35,sao vicente,-23.9631,-46.3919,73.58,60.0,75.0,5.99,BR,1716906747
36,phalodi,27.1333,72.3667,105.15,5.0,0.0,13.27,IN,1716906748
37,hawaiian paradise park,19.5933,-154.9731,72.03,96.0,100.0,4.61,US,1716906749
38,pacific grove,36.6177,-121.9166,52.7,91.0,100.0,8.01,US,1716906731
39,kirakira,-10.4544,161.9205,80.26,88.0,71.0,9.82,SB,1716906751
40,hami,42.8,93.45,72.03,18.0,0.0,6.98,CN,1716906752
42,kavaratti,10.5669,72.642,81.86,84.0,100.0,15.1,IN,1716906282
43,nar'yan-mar,67.6713,53.087,30.11,78.0,51.0,15.01,RU,1716906756
44,udachny,66.4167,112.4,63.45,35.0,95.0,10.07,RU,1716906289
45,ilulissat,69.2167,-51.1,42.82,52.0,75.0,11.5,GL,1716906285
46,makiyivka,48.0478,37.9258,74.28,37.0,98.0,12.1,UA,1716906759
47,bredasdorp,-34.5322,20.0403,66.25,59.0,4.0,6.29,ZA,1716906760
48,niquelandia,-14.4739,-48.4597,87.01,25.0,67.0,5.73,BR,1716906722
49,harper,4.375,-7.7169,85.21,62.0,69.0,9.42,LR,1716906762
50,mitchell,43.7094,-98.0298,62.17,67.0,0.0,5.75,US,1716906651
51,alofi,-19.0595,-169.9187,75.09,100.0,72.0,1.14,NU,1716906765
52,kayangel,8.0823,134.7173,84.61,77.0,94.0,14.03,PW,1716906766
53,saipan,15.1355,145.701,83.1,74.0,20.0,10.36,MP,1716906249
54,codrington,-38.2667,141.9667,55.38,48.0,15.0,13.98,AU,1716906278
55,fale old settlement,-9.3852,-171.2468,84.87,77.0,3.0,13.71,TK,1716906769
56,laojunmiao,39.8333,97.7333,53.64,39.0,100.0,11.99,CN,1716906770
57,portland,45.5234,-122.6762,56.61,82.0,100.0,1.01,US,1716906590
58,slave lake,55.2834,-114.769,49.98,71.0,75.0,5.75,CA,1716906579
59,molln,53.6333,10.6833,62.47,72.0,40.0,8.05,DE,1716906774
60,kittila,67.6647,24.8936,70.61,77.0,20.0,6.91,FI,1716906775
61,hadibu,12.65,54.0333,88.02,68.0,83.0,15.73,YE,1716906745
62,mwinilunga,-11.7358,24.4293,77.7,32.0,98.0,5.91,ZM,1716906777
63,enewetak,11.3474,162.3373,82.45,79.0,99.0,16.02,MH,1716906778
64,margaret river,-33.95,115.0667,53.17,79.0,94.0,20.42,AU,1716906779
65,dondo,-19.6094,34.7431,78.31,78.0,0.0,5.26,MZ,1716906780
66,bethel,41.3712,-73.414,75.45,66.0,0.0,8.05,US,1716906168
67,mammoth lakes,37.6485,-118.9721,58.33,52.0,0.0,0.0,US,1716906782
68,cockburn town,21.4612,-71.1419,82.04,86.0,100.0,13.42,TC,1716906663
69,bosaso,11.2842,49.1816,93.18,66.0,0.0,11.5,SO,1716906785
70,vilyuchinsk,52.9306,158.4028,40.93,89.0,97.0,5.28,RU,1716906199
71,nuuk,64.1835,-51.7216,41.61,81.0,100.0,19.57,GL,1716906236
72,santa marta de ortigueira,43.6833,-7.85,59.09,69.0,73.0,4.16,ES,1716906788
73,luanda,-8.8368,13.2343,89.6,58.0,0.0,11.5,AO,1716906642
74,kodiak,57.79,-152.4072,40.51,100.0,40.0,0.0,US,1716906790
75,college,64.8569,-147.8028,53.17,79.0,75.0,4.61,US,1716906272
76,krabi,8.0726,98.9105,86.2,79.0,75.0,3.44,TH,1716906793
